number_of_reviews,calculated_host_listings_count,availability_365,room_type,price
0.013157894736842105,0.0,1.0,1.0,75
0.14473684210526316,0.5,0.3424657534246575,1.0,41
0.0,0.5,0.3643835616438356,0.0,68
0.0,0.0,0.0,0.0,82
0.13157894736842105,0.0,0.021917808219178082,0.5,160
0.02631578947368421,0.0,0.08767123287671233,0.5,100
0.02631578947368421,0.0,0.13424657534246576,0.5,200
0.9736842105263157,1.0,0.16986301369863013,0.0,100
0.11842105263157894,0.5,0.24383561643835616,1.0,51
0.10526315789473684,0.5,0.06301369863013699,0.5,241
0.23684210526315788,0.0,0.0,0.0,119
0.0,0.0,0.0,0.5,90
0.2763157894736842,0.0,0.0,0.5,75
0.8157894736842105,0.0,0.715068493150685,0.0,180
0.15789473684210525,0.0,0.0,0.5,160
0.17105263157894735,0.0,0.0,0.5,95
0.06578947368421052,0.0,0.038356164383561646,0.5,179
0.881578947368421,0.5,0.6547945205479452,0.5,146
0.15789473684210525,0.0,0.7890410958904109,0.0,89
0.40789473684210525,0.0,0.12328767123287672,0.5,90
0.8289473684210525,0.0,0.18356164383561643,0.5,123
0.05263157894736842,0.0,0.0,0.0,75
0.5,1.0,0.9917808219178083,0.5,125
0.039473684210526314,0.0,0.0,0.5,173
0.5657894736842105,0.5,0.7287671232876712,0.0,50
0.10526315789473684,0.5,0.9589041095890412,0.5,149
0.07894736842105263,0.5,0.9643835616438357,0.5,225
0.02631578947368421,0.0,0.0,0.5,125
0.05263157894736842,0.0,0.9972602739726028,0.0,83
0.02631578947368421,0.0,0.0,0.0,37
0.18421052631578946,1.0,0.24383561643835616,0.0,75
0.15789473684210525,0.0,0.010958904109589041,0.5,230
0.0,1.0,0.0,0.5,120
0.06578947368421052,0.5,0.9616438356164384,0.0,45
0.013157894736842105,0.5,0.0,0.0,65
0.0,0.0,0.0,0.5,250
0.013157894736842105,0.0,0.0,0.5,250
0.05263157894736842,0.0,0.0,0.5,175
0.13157894736842105,0.0,0.0,0.0,100
0.06578947368421052,0.0,0.0,0.5,120
0.0,0.0,0.0,0.0,67
0.3289473684210526,0.0,0.3835616438356164,0.0,109
0.0,0.0,0.4383561643835616,0.0,195
0.02631578947368421,0.0,0.0,0.0,120
0.5263157894736842,0.5,0.33972602739726027,0.5,160
0.10526315789473684,0.0,0.0,0.5,90
0.06578947368421052,0.0,0.0,0.0,75
0.9605263157894737,0.5,0.8410958904109589,0.0,75
0.0,0.0,0.0,0.5,199
0.17105263157894735,0.0,0.0,0.5,125
0.3157894736842105,0.0,0.4465753424657534,0.0,50
0.0,0.0,0.2410958904109589,0.0,150
0.4605263157894737,0.5,0.0410958904109589,0.5,99
0.15789473684210525,0.0,0.0,0.0,49
0.05263157894736842,0.0,0.0,0.5,110
0.013157894736842105,0.0,0.3013698630136986,0.0,65
0.013157894736842105,0.0,0.0,0.0,45
0.0,0.0,0.06575342465753425,0.5,274
0.3421052631578947,0.0,0.0,0.5,139
0.11842105263157894,0.5,0.14246575342465753,0.0,89
0.0,0.0,0.0,0.0,23
0.10526315789473684,1.0,0.9506849315068493,0.5,199
0.894736842105263,0.0,0.0273972602739726,0.5,115
0.013157894736842105,1.0,0.0,0.0,123
0.0,0.0,0.010958904109589041,0.5,100
0.75,0.0,0.3013698630136986,0.5,85
0.05263157894736842,0.0,0.0,0.5,149
0.013157894736842105,0.0,0.0,0.0,35
0.8684210526315789,0.0,0.16164383561643836,0.0,85
0.05263157894736842,0.0,0.038356164383561646,0.5,125
0.013157894736842105,0.5,0.0,0.5,65
0.2763157894736842,0.0,0.4054794520547945,0.5,250
0.013157894736842105,0.5,0.0,0.0,130
0.15789473684210525,0.5,0.12602739726027398,0.5,99
0.0,0.0,0.0,0.0,50
0.0,0.0,0.0,0.0,75
0.21052631578947367,0.0,0.8273972602739726,0.0,65
0.06578947368421052,1.0,0.24383561643835616,0.0,50
0.09210526315789473,0.0,0.0,0.0,40
0.881578947368421,0.0,0.1726027397260274,0.0,90
0.05263157894736842,0.0,0.0,0.5,162
0.05263157894736842,0.0,0.0,0.5,155
0.039473684210526314,0.0,0.019178082191780823,0.5,169
0.0,0.0,0.8493150684931506,0.0,185
0.0,0.0,0.0,0.0,110
0.013157894736842105,0.5,0.9534246575342465,0.0,48
0.039473684210526314,0.0,0.0684931506849315,0.5,220
0.631578947368421,0.0,0.0,0.5,110
0.05263157894736842,0.0,0.0,0.0,51
0.23684210526315788,0.5,0.1506849315068493,0.5,269
0.06578947368421052,0.0,0.0,0.5,125
0.039473684210526314,0.5,0.0,0.0,30
0.5263157894736842,0.0,0.11232876712328767,0.5,250
0.0,0.0,1.0,0.0,250
0.22368421052631576,0.0,0.0,0.5,150
0.10526315789473684,0.0,0.5232876712328767,0.0,125
0.23684210526315788,0.0,0.0,0.5,130
0.22368421052631576,0.5,0.09863013698630137,0.5,150
0.039473684210526314,0.5,0.4904109589041096,0.0,90
0.039473684210526314,0.0,0.0,0.5,137
0.013157894736842105,0.0,0.043835616438356165,0.5,200
0.039473684210526314,0.0,0.4794520547945206,0.5,250
0.013157894736842105,0.0,0.0,0.0,36
0.6447368421052632,0.0,0.0,0.0,110
0.07894736842105263,0.0,0.0,0.5,160
0.3684210526315789,0.0,0.052054794520547946,0.5,85
0.10526315789473684,0.0,0.29863013698630136,0.0,75
0.07894736842105263,0.0,0.25205479452054796,0.5,250
0.3026315789473684,0.0,0.23835616438356164,0.0,70
0.3157894736842105,0.0,0.0,0.5,68
0.013157894736842105,0.0,0.0,0.5,200
0.09210526315789473,0.0,0.0,0.5,110
0.4605263157894737,0.0,0.0,0.0,42
0.0,0.5,0.30684931506849317,0.5,209
0.05263157894736842,0.0,1.0,0.5,250
0.07894736842105263,0.0,0.0,0.5,205
0.06578947368421052,0.0,0.024657534246575342,0.0,45
0.2763157894736842,0.0,0.11506849315068493,0.5,200
0.013157894736842105,0.5,0.0,0.0,66
0.0,0.0,0.0,0.5,140
0.02631578947368421,0.0,0.0,0.0,48
0.07894736842105263,0.0,0.0,0.5,140
0.013157894736842105,0.0,0.030136986301369864,0.0,50
0.3684210526315789,0.0,0.23013698630136986,0.0,40
0.2763157894736842,1.0,0.7972602739726028,0.0,20
0.0,0.5,0.19726027397260273,1.0,200
0.19736842105263158,0.0,0.5671232876712329,0.5,275
0.47368421052631576,0.0,0.0,0.5,100
0.013157894736842105,0.0,0.07397260273972603,0.5,150
0.013157894736842105,0.5,0.0,0.0,40
0.22368421052631576,0.0,0.038356164383561646,0.0,45
0.039473684210526314,0.0,0.0,0.0,55
0.18421052631578946,1.0,0.9671232876712329,0.5,150
0.0,0.0,0.24383561643835616,0.0,75
0.43421052631578944,0.0,0.9534246575342465,0.0,49
0.0,0.0,0.0,0.5,160
0.06578947368421052,0.0,0.0027397260273972603,0.5,95
0.4473684210526315,0.0,0.15342465753424658,0.5,95
0.0,0.0,0.0,0.0,49
0.05263157894736842,0.0,0.0,0.5,200
0.02631578947368421,0.5,0.6027397260273972,0.0,80
0.0,0.0,0.4904109589041096,0.0,55
0.02631578947368421,0.5,0.0,0.0,55
0.05263157894736842,0.0,0.2684931506849315,0.5,175
0.13157894736842105,0.0,0.0,0.0,95
0.07894736842105263,0.0,0.0,0.5,85
0.039473684210526314,0.0,0.005479452054794521,0.0,119
0.02631578947368421,0.0,0.0,0.5,166
0.35526315789473684,0.0,1.0,0.0,99
0.47368421052631576,0.0,0.0,0.0,81
0.47368421052631576,1.0,0.024657534246575342,0.0,95
0.5657894736842105,0.0,0.8246575342465754,0.5,250
0.013157894736842105,0.5,0.0,0.0,50
0.9342105263157894,0.0,0.7808219178082192,0.5,105
0.23684210526315788,0.5,0.0,0.0,85
0.02631578947368421,0.0,0.0,0.5,100
0.17105263157894735,0.0,0.4301369863013699,0.5,200
0.05263157894736842,0.0,0.9945205479452055,0.0,150
0.17105263157894735,0.0,0.2219178082191781,1.0,25
0.05263157894736842,0.0,0.0,0.5,150
0.02631578947368421,0.0,0.4904109589041096,0.0,49
0.039473684210526314,0.5,0.0136986301369863,0.0,42
0.05263157894736842,0.5,0.0,0.0,65
0.0,0.0,0.0,0.5,120
0.0,0.5,0.0,0.0,80
0.19736842105263158,0.0,0.04657534246575343,0.0,55
0.06578947368421052,0.0,0.024657534246575342,0.5,109
1.0,0.0,0.1643835616438356,0.5,220
0.22368421052631576,0.0,0.1315068493150685,0.5,185
0.09210526315789473,0.0,0.0,0.0,160
0.0,0.0,0.0,1.0,85
0.9473684210526315,0.0,0.6465753424657534,0.5,160
0.06578947368421052,0.0,0.049315068493150684,0.5,180
0.05263157894736842,0.0,0.0,0.5,270
0.0,0.0,0.021917808219178082,0.5,100
0.039473684210526314,0.0,0.0,0.5,115
0.10526315789473684,0.5,0.2493150684931507,0.0,121
0.6447368421052632,0.0,0.4301369863013699,0.0,89
0.22368421052631576,0.5,0.7917808219178082,0.0,58
0.17105263157894735,0.0,0.947945205479452,0.5,207
0.013157894736842105,0.0,0.15342465753424658,0.5,140
0.13157894736842105,0.0,0.0547945205479452,0.5,86
0.8552631578947368,0.0,0.0027397260273972603,0.5,159
0.3684210526315789,0.0,0.03561643835616438,0.0,101
0.2763157894736842,0.0,0.0027397260273972603,0.0,35
0.7368421052631579,0.0,0.14794520547945206,0.0,95
0.0,0.0,0.0,0.0,125
0.0,0.0,0.2,0.0,75
0.0,0.0,0.4602739726027397,0.5,140
0.5657894736842105,0.0,0.3287671232876712,0.0,100
0.13157894736842105,0.0,0.0,0.5,135
0.09210526315789473,0.0,0.0,0.0,75
0.02631578947368421,0.0,0.14246575342465753,0.5,178
0.5921052631578947,0.0,0.0,0.0,70
